timestamp,num_slices,num_vnfs_per_slice,seed,method,accepted,total_energy,total_bandwidth,total_latency,runtime_sec
2025-11-12 08:24:10,4,2,1,A*,4,8.445,160.0,4.0,0.01392674446105957
2025-11-12 08:24:10,4,2,1,ABO,4,3.91,160.0,8.0,1.8494782447814941
2025-11-12 08:24:10,4,2,1,FABO,4,10.1775,160.0,8.0,1.8592534065246582
2025-11-12 08:24:10,4,2,1,Best Fit,4,8.3,320.0,16.0,0.00109100341796875
2025-11-12 08:24:10,4,2,1,First Fit,4,4.285,160.0,12.0,0.0009789466857910156
2025-11-12 08:24:10,4,2,1,Energy-Aware A*,4,8.445,160.0,4.0,0.04826641082763672
2025-11-12 08:24:25,4,3,1,A*,4,15.6825,360.0,8.0,0.07638883590698242
2025-11-12 08:24:25,4,3,1,ABO,4,15.344999999999999,360.0,12.0,7.296630382537842
2025-11-12 08:24:25,4,3,1,FABO,4,15.157499999999999,360.0,12.0,6.97818660736084
2025-11-12 08:24:25,4,3,1,Best Fit,4,13.26,540.0,18.0,0.002125263214111328
2025-11-12 08:24:25,4,3,1,First Fit,4,11.485,460.0,18.0,0.0011439323425292969
2025-11-12 08:24:25,4,3,1,Energy-Aware A*,4,15.6825,360.0,8.0,0.24395298957824707
2025-11-12 08:24:31,6,2,1,A*,6,9.1675,240.0,6.0,0.021430492401123047
2025-11-12 08:24:31,6,2,1,ABO,6,4.365,240.0,12.0,2.725855827331543
2025-11-12 08:24:31,6,2,1,FABO,6,15.007499999999999,240.0,12.0,2.7091362476348877
2025-11-12 08:24:31,6,2,1,Best Fit,6,11.33,440.0,21.0,0.0016608238220214844
2025-11-12 08:24:31,6,2,1,First Fit,6,7.1675,240.0,18.0,0.001337289810180664
2025-11-12 08:24:31,6,2,1,Energy-Aware A*,6,9.1675,240.0,6.0,0.06701827049255371
2025-11-12 08:24:51,6,3,1,A*,6,19.305,540.0,12.0,0.1194610595703125
2025-11-12 08:24:51,6,3,1,ABO,6,17.0175,540.0,18.0,10.62145733833313
2025-11-12 08:24:51,6,3,1,FABO,6,18.017500000000002,540.0,18.0,8.94770097732544
2025-11-12 08:24:51,6,3,1,Best Fit,6,24.299999999999997,810.0,27.0,0.0019702911376953125
2025-11-12 08:24:51,6,3,1,First Fit,6,16.377499999999998,730.0,28.0,0.0020940303802490234
2025-11-12 08:24:51,6,3,1,Energy-Aware A*,6,19.305,540.0,12.0,0.3529782295227051
2025-11-12 08:24:58,8,2,1,A*,8,9.89,320.0,8.0,0.026456594467163086
2025-11-12 08:24:58,8,2,1,ABO,8,4.82,320.0,16.0,3.5667405128479004
2025-11-12 08:24:58,8,2,1,FABO,8,17.542499999999997,320.0,16.0,3.580897569656372
2025-11-12 08:24:58,8,2,1,Best Fit,8,14.24,520.0,27.0,0.0028002262115478516
2025-11-12 08:24:58,8,2,1,First Fit,8,8.05,320.0,24.0,0.0022945404052734375
2025-11-12 08:24:58,8,2,1,Energy-Aware A*,8,9.89,320.0,8.0,0.08881211280822754
2025-11-12 08:25:23,8,3,1,A*,8,21.596249999999998,720.0,16.0,0.22724437713623047
2025-11-12 08:25:23,8,3,1,ABO,8,22.6975,720.0,24.0,13.27935528755188
2025-11-12 08:25:23,8,3,1,FABO,8,26.32875,770.0,25.0,11.552199363708496
2025-11-12 08:25:23,8,3,1,Best Fit,8,26.339999999999993,1080.0,36.0,0.0027124881744384766
2025-11-12 08:25:23,8,3,1,First Fit,8,22.741250000000004,1030.0,39.0,0.0031855106353759766
2025-11-12 08:25:23,8,3,1,Energy-Aware A*,8,21.596249999999998,720.0,16.0,0.5164291858673096
2025-11-12 08:25:33,10,2,1,A*,10,10.6125,400.0,10.0,0.035479068756103516
2025-11-12 08:25:33,10,2,1,ABO,10,10.5425,400.0,20.0,4.544891595840454
2025-11-12 08:25:33,10,2,1,FABO,10,20.184999999999995,400.0,20.0,4.814370632171631
2025-11-12 08:25:33,10,2,1,Best Fit,10,16.15,600.0,32.0,0.002155303955078125
2025-11-12 08:25:33,10,2,1,First Fit,10,10.852500000000001,480.0,32.0,0.0020401477813720703
2025-11-12 08:25:33,10,2,1,Energy-Aware A*,10,10.6125,400.0,10.0,0.11374044418334961
2025-11-12 08:26:03,10,3,1,A*,10,24.8875,900.0,20.0,0.19397926330566406
2025-11-12 08:26:03,10,3,1,ABO,10,27.867500000000003,1000.0,32.0,15.52497410774231
2025-11-12 08:26:03,10,3,1,FABO,10,29.830000000000002,1050.0,33.0,13.340925455093384
2025-11-12 08:26:03,10,3,1,Best Fit,10,35.10999999999999,1260.0,45.0,0.003398418426513672
2025-11-12 08:26:03,10,3,1,First Fit,10,27.168750000000003,1340.0,50.0,0.004431724548339844
2025-11-12 08:26:03,10,3,1,Energy-Aware A*,10,24.8875,900.0,20.0,0.621227502822876
2025-11-12 08:26:14,12,2,1,A*,12,11.335,480.0,12.0,0.04081559181213379
2025-11-12 08:26:14,12,2,1,ABO,12,13.3725,480.0,24.0,5.315593719482422
2025-11-12 08:26:14,12,2,1,FABO,12,20.72,480.0,24.0,5.506053686141968
2025-11-12 08:26:14,12,2,1,Best Fit,12,22.299999999999997,800.0,40.0,0.003081083297729492
2025-11-12 08:26:14,12,2,1,First Fit,12,11.655000000000001,640.0,40.0,0.0029816627502441406
2025-11-12 08:26:14,12,2,1,Energy-Aware A*,12,11.335,480.0,12.0,0.12993574142456055
2025-11-12 08:26:47,12,3,1,A*,12,28.228750000000005,1130.0,25.0,0.20334720611572266
2025-11-12 08:26:47,12,3,1,ABO,12,35.228750000000005,1230.0,41.0,17.11364984512329
2025-11-12 08:26:47,12,3,1,FABO,12,36.235,1280.0,42.0,14.912755727767944
2025-11-12 08:26:47,12,3,1,Best Fit,12,36.88,1440.0,54.0,0.004575490951538086
2025-11-12 08:26:47,12,3,1,First Fit,12,30.646250000000006,1700.0,62.0,0.0039014816284179688
2025-11-12 08:26:47,12,3,1,Energy-Aware A*,12,28.282500000000002,1080.0,26.0,0.7181358337402344
2025-11-12 08:27:03,18,2,1,A*,18,14.617500000000001,960.0,24.0,0.06933736801147461
2025-11-12 08:27:03,18,2,1,ABO,18,17.272499999999997,720.0,36.0,7.255085706710815
2025-11-12 08:27:03,18,2,1,FABO,18,22.834999999999994,720.0,36.0,8.647308349609375
2025-11-12 08:27:03,18,2,1,Best Fit,18,31.029999999999987,1040.0,54.0,0.004112720489501953
2025-11-12 08:27:03,18,2,1,First Fit,18,17.980000000000004,1360.0,64.0,0.004777431488037109
2025-11-12 08:27:03,18,2,1,Energy-Aware A*,18,14.617500000000001,960.0,24.0,0.21369409561157227
2025-11-12 08:27:42,18,3,1,A*,18,36.148750000000014,1960.0,44.0,0.27272462844848633
2025-11-12 08:27:42,18,3,1,ABO,18,52.37500000000001,2090.0,77.0,19.196817874908447
