timestamp,method,num_slices,num_vnfs_per_slice,seed,result_idx,slice,vnf_src,vnf_dst,path_nodes,path_edges,num_hops
2026-06-04 11:43:15,A*,4,2,1,0,,vnf0_0,vnf0_1,3->1,3-1,1
2026-06-04 11:43:15,A*,4,2,1,1,,vnf1_0,vnf1_1,3->11,3-11,1
2026-06-04 11:43:15,A*,4,2,1,2,,vnf2_0,vnf2_1,3->1,3-1,1
2026-06-04 11:43:15,A*,4,2,1,3,,vnf3_0,vnf3_1,3->11,3-11,1
2026-06-04 11:43:15,ABO,4,2,1,0,,ENTRY,vnf0_0,3->11,3-11,1
2026-06-04 11:43:15,ABO,4,2,1,0,,vnf0_0,vnf0_1,11->8,11-8,1
2026-06-04 11:43:15,ABO,4,2,1,1,,ENTRY,vnf1_0,3->12->10,3-12;12-10,2
2026-06-04 11:43:15,ABO,4,2,1,1,,vnf1_0,vnf1_1,10->7,10-7,1
2026-06-04 11:43:15,ABO,4,2,1,2,,ENTRY,vnf2_0,3->4->2,3-4;4-2,2
2026-06-04 11:43:15,ABO,4,2,1,2,,vnf2_0,vnf2_1,2->6->7,2-6;6-7,2
2026-06-04 11:43:15,ABO,4,2,1,3,,ENTRY,vnf3_0,3->11,3-11,1
2026-06-04 11:43:15,ABO,4,2,1,3,,vnf3_0,vnf3_1,11->8,11-8,1
2026-06-04 11:43:15,FABO,4,2,1,0,,vnf0_0,vnf0_1,3->11,3-11,1
2026-06-04 11:43:15,FABO,4,2,1,1,,__ENTRY__,vnf1_0,3->4,3-4,1
2026-06-04 11:43:15,FABO,4,2,1,1,,vnf1_0,vnf1_1,4->2,4-2,1
2026-06-04 11:43:15,FABO,4,2,1,2,,__ENTRY__,vnf2_0,3->12->10,3-12;12-10,2
2026-06-04 11:43:15,FABO,4,2,1,2,,vnf2_0,vnf2_1,10->7,10-7,1
2026-06-04 11:43:15,FABO,4,2,1,3,,__ENTRY__,vnf3_0,3->11,3-11,1
2026-06-04 11:43:15,FABO,4,2,1,3,,vnf3_0,vnf3_1,11->8,11-8,1
2026-06-04 11:43:15,Best Fit,4,2,1,0,,vnf0_0,vnf0_1,3->4,3-4,1
2026-06-04 11:43:15,Best Fit,4,2,1,1,,vnf1_0,vnf1_1,3->4,3-4,1
2026-06-04 11:43:15,Best Fit,4,2,1,2,,vnf2_0,vnf2_1,3->4,3-4,1
2026-06-04 11:43:15,Best Fit,4,2,1,3,,vnf3_0,vnf3_1,3->4,3-4,1
2026-06-04 11:43:15,First Fit,4,2,1,0,,ENTRY,vnf0_0,3->1,3-1,1
2026-06-04 11:43:15,First Fit,4,2,1,0,,vnf0_0,vnf0_1,1->2,1-2,1
2026-06-04 11:43:15,First Fit,4,2,1,1,,ENTRY,vnf1_0,3->1,3-1,1
2026-06-04 11:43:15,First Fit,4,2,1,1,,vnf1_0,vnf1_1,1->2,1-2,1
2026-06-04 11:43:15,First Fit,4,2,1,2,,ENTRY,vnf2_0,3->1,3-1,1
2026-06-04 11:43:15,First Fit,4,2,1,2,,vnf2_0,vnf2_1,1->2,1-2,1
2026-06-04 11:43:15,First Fit,4,2,1,3,,ENTRY,vnf3_0,3->1,3-1,1
2026-06-04 11:43:15,First Fit,4,2,1,3,,vnf3_0,vnf3_1,1->2,1-2,1
2026-06-04 11:43:15,Energy-Aware A*,4,2,1,0,,vnf0_0,vnf0_1,3->11,3-11,1
2026-06-04 11:43:15,Energy-Aware A*,4,2,1,1,,vnf1_0,vnf1_1,3->11,3-11,1
2026-06-04 11:43:15,Energy-Aware A*,4,2,1,2,,vnf2_0,vnf2_1,3->11,3-11,1
2026-06-04 11:43:15,Energy-Aware A*,4,2,1,3,,vnf3_0,vnf3_1,3->11,3-11,1
2026-06-04 11:43:15,MILP_Gurobi,4,2,1,0,0.0,vnf0_0,vnf0_1,2->1,2-1,1
2026-06-04 11:43:15,MILP_Gurobi,4,2,1,0,1.0,vnf1_0,vnf1_1,1->2,1-2,1
2026-06-04 11:43:15,MILP_Gurobi,4,2,1,0,2.0,vnf2_0,vnf2_1,1->2,1-2,1
2026-06-04 11:43:15,MILP_Gurobi,4,2,1,0,3.0,vnf3_0,vnf3_1,1->2,1-2,1
