timestamp,method,num_slices,num_vnfs_per_slice,seed,result_idx,slice,vnf_src,vnf_dst,path_nodes,path_edges,num_hops
2026-01-21 11:40:08,A*,4,2,1,0,,vnf0_0,vnf0_1,11->3,11-3,1
2026-01-21 11:40:08,A*,4,2,1,1,,vnf1_0,vnf1_1,11->8,11-8,1
2026-01-21 11:40:08,A*,4,2,1,2,,vnf2_0,vnf2_1,11->10,11-10,1
2026-01-21 11:40:08,A*,4,2,1,3,,vnf3_0,vnf3_1,11->3,11-3,1
2026-01-21 11:40:08,ABO,4,2,1,0,,ENTRY,vnf0_0,11->3,11-3,1
2026-01-21 11:40:08,ABO,4,2,1,0,,vnf0_0,vnf0_1,3->4,3-4,1
2026-01-21 11:40:08,ABO,4,2,1,1,,ENTRY,vnf1_0,11->3,11-3,1
2026-01-21 11:40:08,ABO,4,2,1,1,,vnf1_0,vnf1_1,3->11,3-11,1
2026-01-21 11:40:08,ABO,4,2,1,2,,ENTRY,vnf2_0,11->3,11-3,1
2026-01-21 11:40:08,ABO,4,2,1,2,,vnf2_0,vnf2_1,3->4,3-4,1
2026-01-21 11:40:08,ABO,4,2,1,3,,ENTRY,vnf3_0,11->3,11-3,1
2026-01-21 11:40:08,ABO,4,2,1,3,,vnf3_0,vnf3_1,3->12,3-12,1
2026-01-21 11:40:08,FABO,4,2,1,0,,ENTRY,vnf0_0,11->3,11-3,1
2026-01-21 11:40:08,FABO,4,2,1,0,,vnf0_0,vnf0_1,3->4,3-4,1
2026-01-21 11:40:08,FABO,4,2,1,1,,ENTRY,vnf1_0,11->8,11-8,1
2026-01-21 11:40:08,FABO,4,2,1,1,,vnf1_0,vnf1_1,8->5,8-5,1
2026-01-21 11:40:08,FABO,4,2,1,2,,ENTRY,vnf2_0,11->10,11-10,1
2026-01-21 11:40:08,FABO,4,2,1,2,,vnf2_0,vnf2_1,10->7,10-7,1
2026-01-21 11:40:08,FABO,4,2,1,3,,ENTRY,vnf3_0,11->3,11-3,1
2026-01-21 11:40:08,FABO,4,2,1,3,,vnf3_0,vnf3_1,3->11,3-11,1
2026-01-21 11:40:08,Best Fit,4,2,1,0,,vnf0_0,vnf0_1,11->3,11-3,1
2026-01-21 11:40:08,Best Fit,4,2,1,1,,vnf1_0,vnf1_1,11->3,11-3,1
2026-01-21 11:40:08,Best Fit,4,2,1,2,,vnf2_0,vnf2_1,11->3,11-3,1
2026-01-21 11:40:08,Best Fit,4,2,1,3,,vnf3_0,vnf3_1,11->3,11-3,1
